サービス種類,市区町村名,団体コード,事業所名,法人名,法人種別,事業所番号,住所,電話番号,指定年月日,事業所種別,利用可能曜日,定員,公式サイト,緯度,経度
訪問介護,千代田区,13101,ヘルパーステーション　メリーテール,株式会社Ｓｏｌｅｉｌ,営利法人,1370101824,東京都千代田区二番町１－２－１１０８,03-6261-2503,2025-02-01,,平日・土曜日・日曜日・祝日,,,35.686556527321330,139.738003347221370
訪問介護,千代田区,13101,社会福祉会訪問介護ステーション,一般財団法人社会福祉会,社団・財団,1370101840,東京都千代田区外神田２－３－１,03-6206-0590,2025-04-01,,平日・土曜日・日曜日・祝日,,http://syakaihukushikai.or.jp/,35.700476700000000,139.769401200000000
訪問介護,千代田区,13101,ネコロボマン訪問介護靖国神社前店,株式会社ＡＩＳＯ,営利法人,1370101865,東京都千代田区九段南３－８－３Ｍ．Ｂａｌａｎｃｅ＋ＫＵＤＡＮ４階,03-3288-1001,2026-06-01,,,,,,
訪問介護,千代田区,13101,ヘルパーステーションルルドの泉,株式会社ルルドの泉,営利法人,1370202663,東京都千代田区神田小川町３－１１－２－１１１号,03-5534-8977,2022-11-01,,平日・土曜日・日曜日・祝日,25,,35.694112200000010,139.762292900000030
訪問介護,千代田区,13101,つながるケア,株式会社つながるカンパニー,営利法人,1370503599,東京都千代田区九段南３－３－１３横山ビル３階,03-5832-1905,2021-06-01,,,,,,
訪問介護,千代田区,13101,手結ステーション,合同会社アルファ・アソシエイツ,営利法人,1371111723,東京都千代田区飯田橋２－８－９－１０１,03-6261-6960,2017-09-01,,平日・土曜日・日曜日・祝日,,http://teistation-care.com/,35.699739399999990,139.749050100000000
訪問介護,千代田区,13101,生活日和,合同会社生活日和,営利法人,1371707678,東京都千代田区飯田橋３－１１－２０山田ラインビルⅡ８階,03-6272-8566,2024-02-01,,平日・土曜日・日曜日・祝日,,https://seikatsubiyori.co.jp,35.702719525827700,139.747183292291030
訪問介護,中央区,13102,株式会社　ベストサポート日本橋　ヘルパーステーション,株式会社ベストサポート日本橋,営利法人,1370200188,東京都中央区日本橋本石町４－５－１５吉川ビル２Ｆ,03-3241-5860,1999-12-01,,平日・土曜日・日曜日・祝日,,https://www.bestsupport-n.com,35.688887719016140,139.770953781614700
訪問介護,中央区,13102,株式会社　聖ルカレジデンス,株式会社聖ルカレジデンス,営利法人,1370200246,東京都中央区明石町８番１号,03-5550-6600,2000-02-01,,平日・土曜日・日曜日・祝日,,http://www.slresidence.jp,35.666383473966120,139.778393250262380
訪問介護,中央区,13102,新川訪問介護ステーション,中央区,地方公共団体（市町村）,1370200287,東京都中央区新川２－２７－３,03-3552-5670,2000-02-01,,平日・土曜日・日曜日・祝日,,https://www.san-ikukai.or.jp/chuo/shinkawa/,35.673037314039110,139.783972602377400
訪問介護,中央区,13102,訪問介護　エンゼル,株式会社ＡＣＡ,営利法人,1370200378,東京都中央区勝どき２－１０－１４－３０５,03-5547-8180,2000-04-01,,平日・土曜日・日曜日・祝日,100,http://www.angel-care.co.jp,35.658671300000000,139.777200300000000
訪問介護,中央区,13102,ニチイケアセンター新富,株式会社ニチイ学館,営利法人,1370200394,東京都中央区銀座１－１６－６鈴常ビル２階,03-3538-6712,2000-04-01,,平日・土曜日・日曜日・祝日,,http://www.nichiigakkan.co.jp,35.674069500000000,139.770497500000030
訪問介護,中央区,13102,エールハート本部,株式会社中央ケアサービス,営利法人,1370200444,東京都中央区銀座３－１１－１ニュー銀座ビル８階,03-5565-7484,2001-04-01,,平日・土曜日・日曜日・祝日,200,http://www.carepage.net,35.671294800000000,139.769008799999940
訪問介護,中央区,13102,クローバーケアステーション,株式会社カンケイ舎,営利法人,1370200717,東京都中央区東日本橋２－８－５東日本橋グリーンビルアネックス７階,03-5823-7723,2002-10-01,,平日・土曜日・日曜日・祝日,,https://kankeisha.jp/,35.693560313835940,139.785371806849550
訪問介護,中央区,13102,アソシケア　ゆうゆう　ヘルパーステーション,有限会社アソシエイト,営利法人,1370200857,東京都中央区月島３－１１－６,03-5547-4402,2004-01-01,,平日・土曜日・日曜日・祝日,65,http://associcare.com,35.662396100000000,139.781638800000000
訪問介護,中央区,13102,大江戸ケアセンター,シンシアリーサポート株式会社,営利法人,1370200907,東京都中央区築地２－７－１２　１５山京ビル３０８,03-6226-3370,2004-03-01,,平日・土曜日・日曜日・祝日,,https://sincerely-saiyou.jbplt.jp/,35.669847900000010,139.772716900000000
訪問介護,中央区,13102,ＳＯＭＰＯケア　あいおい　訪問介護,ＳＯＭＰＯケア株式会社,営利法人,1370201095,東京都中央区佃３－１－１５相生の里,03-5548-2491,2005-10-01,,平日・土曜日・日曜日・祝日,,https://www.sompocare.com,35.665943100000000,139.787213400000040
訪問介護,中央区,13102,ケアリッツ日本橋,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1370201798,東京都中央区日本橋浜町２－５７－７メゾンエクレーレ浜町公園１０１号室,03-5614-0080,2012-02-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/nihonbashi/,35.687021523758930,139.790754223907840
訪問介護,中央区,13102,サンシティ銀座ＥＡＳＴホームサービス,株式会社ハーフ・センチュリー・モア,営利法人,1370201939,東京都中央区月島３－２７－１５,03-6219-6501,2013-07-01,,,,,,
訪問介護,中央区,13102,エアリーサポート,株式会社エアリー介護支援センター,営利法人,1370202028,東京都中央区築地２－１－２秀和築地レジデンス８０３,03-6278-8178,2014-01-01,,平日・土曜日・日曜日・祝日,40,,35.670113200908010,139.773249930688500
訪問介護,中央区,13102,ヘルパーステーションあった介護,株式会社あった介護,営利法人,1370202135,東京都中央区日本橋人形町３－５－８日本橋センチュリー２１－３０２,03-6264-9725,2015-02-01,,平日・土曜日・日曜日・祝日,20,http://www.attakaigo.jp/,35.686801600000030,139.780954800000020
訪問介護,中央区,13102,ウィング訪問ケアステーション,社会福祉法人シルヴァーウィング,社会福祉法人（社協以外）,1370202242,東京都中央区新富１－４－６,03-3553-5228,2016-03-01,,平日・土曜日・日曜日・祝日,40,http://www.silver-w.jp/,35.672727144096115,139.772722330024750
訪問介護,中央区,13102,学研ココファン勝どきヘルパーセンター,株式会社学研ココファン,営利法人,1370202291,東京都中央区勝どき５－３－２勝どきザ・タワー,03-6228-2271,2017-03-01,,平日・土曜日・日曜日・祝日,,https://www.cocofump.co.jp/,35.656498202631140,139.772368471496860
訪問介護,中央区,13102,あくとケア　日本橋,株式会社ＳＯＬ,営利法人,1370202333,東京都中央区日本橋蛎殻町１－３３－６ビューハイツ日本橋　２０１号室,03-5847-6410,2017-12-01,,平日・土曜日・日曜日・祝日,7,https://actcare.jp/,35.681871800000000,139.784963100000030
訪問介護,中央区,13102,ケアリッツ築地,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1370202366,東京都中央区築地３－４－６小竹ビル２階,03-6264-0975,2018-07-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/tsukiji/,35.668389700000000,139.773725199999940
訪問介護,中央区,13102,ＹＳにじむすびＡＬＳ支援センター東京,株式会社にじむすび,営利法人,1370202440,東京都中央区日本橋兜町１７－１日本橋ロイヤルプラザ６２０号室,03-5962-3597,2019-12-01,,平日・土曜日・日曜日・祝日,,http://www.nijimusubi.net,35.679091100000000,139.776295500000060
訪問介護,中央区,13102,ことりケア,あこがれ小鳥合同会社,営利法人,1370202515,東京都中央区日本橋堀留町２－１－３ハイツ日本橋６０２号,03-6810-9432,2021-03-01,,平日・土曜日・日曜日・祝日,,,35.687682100000000,139.781424500000000
訪問介護,中央区,13102,ヒーリングケア,ヒーリングケア株式会社,営利法人,1370202556,東京都中央区東日本橋１－３－１４小島ビル３０１号室,03-5829-6310,2021-07-01,,平日・土曜日・日曜日・祝日,,https://healingcare.co.jp,35.690489399999980,139.785847899999960
訪問介護,中央区,13102,グッドスマイル,株式会社フリーダムランド,営利法人,1370202572,東京都中央区東日本橋２－４－３アドバンテージⅡビル６階,03-6240-9026,2021-09-01,,平日・土曜日・祝日,,https://goodsmile.care/,35.691903800000000,139.785662900000000
訪問介護,中央区,13102,訪問介護　ル　リアン,株式会社ｍｙｓａｔｕｕｌｉ,営利法人,1370202622,東京都中央区新富１－４－３レプレビル６階,05013863047,2022-06-01,,,,,,
訪問介護,中央区,13102,ステムテップ,ステムテップ株式会社,営利法人,1370202630,東京都中央区日本橋浜町２－１－７,03-6810-8652,2022-06-01,,,,,,
訪問介護,中央区,13102,ケアリッツ月島,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1370202671,東京都中央区月島２－２－１０クエスト正徳６０４,03-6204-9943,2023-01-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/tsukishima/,35.663232315805800,139.785641508886800
訪問介護,中央区,13102,グッドライフケア訪問介護　中央,株式会社グッドライフケア,営利法人,1370202705,東京都中央区新川１－２８－３８東京ダイヤビルディング２号館１１階,03-5244-9002,2023-08-01,,,,https://goodlifecare.co.jp/tokyo-service/,35.676747235643205,139.784140001119230
訪問介護,中央区,13102,せんじん訪問介護ステーション,合同会社せんじんケアサービス,営利法人,1370202721,東京都中央区明石町５－１３－５０８号,03-6687-1754,2023-09-01,,平日・土曜日・日曜日・祝日,,http://www.senjincarestation.com,35.668181900000000,139.777788400000000
訪問介護,中央区,13102,ケア２１　月島,株式会社ケア２１,営利法人,1370202739,東京都中央区月島３－５－５月島三丁目Ｈ邸,03-3531-0321,2024-03-01,,平日・土曜日・日曜日・祝日,,https://www.care21.co.jp/,35.663284900000010,139.780703800000030
訪問介護,中央区,13102,東京ひかりヘルパーステーション,中央パートナーズ株式会社,営利法人,1370202754,東京都中央区晴海１－１－２８キャナルハウス７０２,03-3520-8895,2024-04-01,,平日・土曜日・日曜日・祝日,,,35.661308600000000,139.786549200000000
訪問介護,中央区,13102,訪問介護事業所ビーフラット,ビーフラット株式会社,営利法人,1370202796,東京都中央区日本橋蛎殻町２－１０－１０パークビル５階,03-6661-2517,2025-05-01,,平日,,https://bflat-fc.com/,35.683380000000000,139.786865900000000
訪問介護,中央区,13102,銀座やすらぎ介護ケア,株式会社ＳＳＡ,営利法人,1370202812,東京都中央区銀座６－５－６,03-6264-5056,2025-07-01,,平日,,,35.670934200000000,139.761891600000000
訪問介護,中央区,13102,プラスケアステーション,株式会社プログレス,営利法人,1370202838,東京都中央区八丁堀４－１２－２０第一ＳＳビル６階Ｂ号室,03-6280-3733,2026-02-01,,平日・土曜日・日曜日・祝日,,,35.673976200000000,139.778821800000000
訪問介護,中央区,13102,訪問介護　ソリスト,株式会社ルノーラ,営利法人,1370202846,東京都中央区入船３－３－７弥栄ビル３０２号室,05088960860,2026-05-01,,,,,,
訪問介護,中央区,13102,まるかケア,合同会社ＬＹＮＸ,営利法人,1370202895,東京都中央区湊３－１－３村山ビル４階,05031100172,2026-08-01,,,,,,
訪問介護,中央区,13102,あいけあ,株式会社あいけあ,営利法人,1370703686,東京都中央区日本橋大伝馬町１１－８フジスタービル１０階　１０３号,03-3664-7533,2013-03-01,,平日・土曜日・日曜日・祝日,,,35.689990100000024,139.780654700000000
訪問介護,中央区,13102,訪問介護事業所　ＯＮＥ・ハート,グランドケアシステム株式会社,営利法人,1370705590,東京都中央区東日本橋２－２４－１２東日本橋槇町ビル６階,03-5809-1815,2022-09-01,,,,,,
訪問介護,中央区,13102,スパイラルケア,フロンティアコンストラクション＆パートナーズ株式会社,営利法人,1371004613,東京都中央区東日本橋２－１－６東日本橋藤和ビル３階,03-6421-4008,2017-08-01,,平日・土曜日・日曜日・祝日,8,http://www.sp-care.jp,35.691948980608046,139.785148848739570
訪問介護,中央区,13102,まっすぐケア,まっすぐ株式会社,営利法人,1371804434,東京都中央区築地２－６－７,03-6807-7654,2019-03-01,,平日・土曜日・日曜日・祝日,,https://www.massugu.co.jp/,35.669452982626815,139.772939270005760
訪問介護,港区,13103,コスモスケアステーション,有限会社コスモスケアステーション,営利法人,1370100727,東京都港区新橋６－５－４ＤＩＫマンション新橋７０１号室,03-5405-1910,2004-07-01,,平日・土曜日・日曜日・祝日,,,35.662134300000000,139.754418300000000
訪問介護,港区,13103,ミライエ　ケア,合同会社ミライエ,営利法人,1370101295,東京都港区三田２－１７－２９オーロラ三田４０１号室,03-6435-1545,2012-06-01,,平日・土曜日・日曜日・祝日,10,https://miraie-care.jp,35.647507451086180,139.739972088638300
訪問介護,港区,13103,アイム介護福祉支援センター,アイム株式会社,営利法人,1370300350,東京都港区赤坂７－１０－９第四文成ビル７０１,03-6807-4882,1999-11-01,,平日・土曜日・日曜日・祝日,,http://www.aimcare.co.jp/,35.669486155792750,139.732336297158780
訪問介護,港区,13103,ニチイケアセンターしろかね,株式会社ニチイ学館,営利法人,1370300830,東京都港区白金３－３－１,03-5447-1574,2000-04-01,,平日・祝日,,http://www.nichiigakkan.co.jp,35.646528534055340,139.729192559524560
訪問介護,港区,13103,株式会社　緑祥,株式会社緑祥,営利法人,1370300913,東京都港区赤坂６－４－１７,03-3585-4467,2000-07-01,,平日・土曜日・日曜日,60,,35.670363300000000,139.734472600000000
訪問介護,港区,13103,こめつつじ会訪問介護事業所,株式会社こめつつじ,営利法人,1370301010,東京都港区三田１－３－４４ラクラス麻布十番００２号,03-6665-8922,2001-03-01,,平日・土曜日・日曜日・祝日,344,http://www.cometsutsuji.jp/,35.654634077752200,139.742010071226420
訪問介護,港区,13103,トータルケアサービス高輪事業所,株式会社ティーシーエス,営利法人,1370301051,東京都港区三田３－７－１６御田八幡ビル１階,03-5427-5835,2001-05-01,,平日・土曜日・日曜日・祝日,,http://www.total-care-servise.co.jp,35.643169600000000,139.741656100000000
訪問介護,港区,13103,マスヤマケアセンター,マスヤマビジネスアソシエイツ株式会社,営利法人,1370301101,東京都港区南麻布２－９－１７,03-3446-6652,2001-10-01,,平日・土曜日・日曜日・祝日,80,,35.648898528505384,139.734539403075800
訪問介護,港区,13103,あおぞら港事業所,株式会社加治エンタープライズ,営利法人,1370301200,東京都港区芝５－１３－５Ｆ・Ｄ三田ビル１階,03-5484-1195,2002-04-01,,平日・土曜日・日曜日・祝日,,http://www.kaigo-aozora.jp/,35.649474500000000,139.745236100000060
訪問介護,港区,13103,セコムケアステーションみなと,セコム医療システム株式会社,営利法人,1370301218,東京都港区南麻布２－２－１３麻布ハイプラザ３０５,03-5444-2021,2002-04-01,,平日・土曜日・日曜日・祝日,100,http://medical.secom.co.jp,35.650064516578844,139.736523014485160
訪問介護,港区,13103,Ｋ港ステーション,有限会社コスモス港ステーション,営利法人,1370301671,東京都港区白金台２－２３－４,03-3444-1733,2004-05-01,,平日・土曜日・日曜日・祝日,,http://www.k-minato.com,35.633110294653285,139.729325005418330
訪問介護,港区,13103,キヨタ芝浦介護サービス,キヨタ・ライフケアサービス株式会社,営利法人,1370301929,東京都港区芝浦４－３－４田町きよたビル３階,03-5440-7288,2005-04-01,,平日・土曜日・日曜日・祝日,80,http://www.kiyota-life.co.jp,35.639650600000000,139.743992100000000
訪問介護,港区,13103,ベル・ハートサポート,有限会社ベル・ハートサポート,営利法人,1370302331,東京都港区芝浦４－９－１８－３１６,03-6426-8891,2006-05-01,,平日,,,35.639792400000000,139.747155700000000
訪問介護,港区,13103,訪問介護ステーションさくら川,社会福祉法人長岡福祉協会,社会福祉法人（社協以外）,1370302349,東京都港区新橋６－１９－２,03-3433-0184,2006-05-01,,平日・土曜日・日曜日・祝日,,http://www.fukushiplazasakuragawa.com/sakura_houmon,35.661206700000000,139.753779500000060
訪問介護,港区,13103,ひなた介護株式会社,ひなた介護株式会社,営利法人,1370302604,東京都港区六本木６－８－１５第２五月ビル,03-5414-1765,2007-07-01,,平日・土曜日・日曜日・祝日,20,,35.660707241498900,139.732647359524550
訪問介護,港区,13103,港区あんしん介護センター,ライフアンドケア株式会社,営利法人,1370302620,東京都港区麻布台３－４－１０誠工社ビル４Ｆ,03-3560-3322,2007-08-01,,平日・土曜日・日曜日・祝日,,,35.660600700000000,139.738916900000050
訪問介護,港区,13103,フジケア麻布ステーション株式会社,フジケア麻布ステーション株式会社,営利法人,1370302745,東京都港区西麻布１－１５－１６,03-3470-2317,2008-05-01,,平日・土曜日・日曜日・祝日,,,35.661900100000000,139.723043299999970
訪問介護,港区,13103,ポム,株式会社ピースオブマインド,営利法人,1370302752,東京都港区芝２－２７－８芝マンション４０３,03-5419-6970,2008-05-01,,,,,,
訪問介護,港区,13103,ＧＴＬケアサービス　芝浦アイランド,グッドタイムリビング株式会社,営利法人,1370302836,東京都港区芝浦４－２０－４,03-3798-4403,2008-11-01,,平日・土曜日・日曜日・祝日,,https://www.gtl-daiwaco.jp,35.638975900000020,139.751821999999920
訪問介護,港区,13103,訪問介護事業所　サクラ,株式会社サクラ,営利法人,1370303008,東京都港区麻布十番１－５－１１,03-6804-3045,2009-10-01,,平日・土曜日,,,35.656792700000000,139.733750900000020
訪問介護,港区,13103,エンジェルケアプラン,有限会社エンジェルケアプラン,営利法人,1370303073,東京都港区芝浦２－１７－２田町竹芝ハイツ２階,03-5442-9800,2010-03-01,,平日・土曜日・日曜日・祝日,80,https://www.angc.co.jp/,35.644733200000005,139.738064700000000
訪問介護,港区,13103,ケアリッツ麻布,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1370303388,東京都港区西麻布１－３－１８ハレのぐちビル２０１,03-6447-5211,2011-01-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/azabu/,35.661967875198180,139.726307645854970
訪問介護,港区,13103,シティインデックスホスピタリティ訪問介護事業所,株式会社デュアルタップコミュニティ,営利法人,1370303404,東京都港区白金６－１６－６ザ・レジデンス白金スイート４階,03-5449-7575,2011-02-01,,平日・土曜日・日曜日・祝日,,http://ci-hos.com/,35.643344000000000,139.722563400000000
訪問介護,港区,13103,グッドライフケア訪問介護　港,株式会社グッドライフケア,営利法人,1370303453,東京都港区東麻布１－１０－１１東麻布アベビル　３階,03-6441-0895,2011-03-01,,平日・土曜日・日曜日・祝日,,https://goodlifecare.co.jp/,35.657651200000000,139.743594400000000
訪問介護,港区,13103,アステイジ,アステイジ株式会社,営利法人,1370303743,東京都港区麻布十番２－１６－１１麻布十番２Ａビル２０２,03-6809-6770,2012-06-01,,平日・土曜日・日曜日・祝日,,https://astage.co/,35.654137500000000,139.735331299999980
訪問介護,港区,13103,ハービー＆マックローリン・陽だまり介護センター,Ｈａｒｖｅｙ＆Ｍａｃｌａｕｒｉｎ特定非営利活動法人,非営利法人（NPO）,1370303784,東京都港区高輪３－１９－２３－７０２号,03-3473-6896,2012-08-01,,平日・土曜日・日曜日・祝日,10,http://www.h-and-m-care.com,35.632785700000030,139.737565799999970
訪問介護,港区,13103,訪問介護事業所アップ赤坂,株式会社ユニプラ,営利法人,1370303842,東京都港区赤坂２－１０－１６　４階－Ａ,03-6435-5022,2013-01-01,,平日・土曜日・日曜日・祝日,8,https://www.sannou-kaigo.co.jp,35.670590692519994,139.741513443551240
訪問介護,港区,13103,ヘルパーステーション・あんしんサイト,株式会社サンビジネス,営利法人,1370303891,東京都港区芝１－１０－１１コスモ金杉橋ビル９階,03-6435-0791,2013-03-01,,平日,2,http://www.sunbi.co.jp/,35.651446700000000,139.754246400000060
訪問介護,港区,13103,ケアメイト港訪問介護事業所,株式会社ケアメイト,営利法人,1370303917,東京都港区高輪４－８－９りぶ高輪５０３,03-6450-2585,2013-04-01,,平日・土曜日・日曜日・祝日,,http://www.caremate.jp,35.629173800000020,139.734510000000000
訪問介護,港区,13103,やまぶきケア,株式会社やまぶき,営利法人,1370304014,東京都港区南青山２－２７－８－２０３,03-6432-9321,2013-07-01,,平日・土曜日・日曜日・祝日,5,http://yamabuki-care.co.jp/,35.668940700000014,139.717135300000000
訪問介護,港区,13103,えがお,合同会社オアシス,営利法人,1370304188,東京都港区三田２－２－１８－１０３,03-5439-6686,2014-05-01,,平日・土曜日・日曜日・祝日,50,https://oasis-egao.care,35.649845430534990,139.739321986579300
訪問介護,港区,13103,株式会社モン・クール,株式会社モン・クール,営利法人,1370304212,東京都港区西麻布２－９－１０－２０２,08032481072,2014-08-01,,平日・土曜日・日曜日・祝日,,,35.655790400000000,139.744783200000030
訪問介護,港区,13103,アクティブ　つるかめ介護,Ａｄｖａｎｃｅ合同会社,営利法人,1370304253,東京都港区海岸３－２１－９ＡＬＢＡ　８０２号,03-6459-1666,2014-11-01,,平日・土曜日・日曜日,3,,35.639958511090720,139.757531935163230
訪問介護,港区,13103,ドリームメット,有限会社メットエンタープライズ,営利法人,1370304287,東京都港区六本木３－１５－２ライオンズマンション第３－１０５,03-6435-5692,2015-02-01,,平日・土曜日・日曜日・祝日,11,http://metenterprise.net/wp/,35.662997800000010,139.735285300000000
訪問介護,港区,13103,フェリス訪問介護合同会社,フェリス訪問介護合同会社,営利法人,1370304303,東京都港区高輪２－１－１１－１１９号,03-6277-0739,2015-03-01,,平日,,,35.639773400000010,139.737592400000040
訪問介護,港区,13103,介護ステーションぶらんち,株式会社ぶらんち,営利法人,1370304360,東京都港区麻布十番３－６－１０－４０３,03-6400-5822,2015-05-01,,平日・土曜日・日曜日・祝日,150,http://branch-smile.com,35.653220900000000,139.734656399999950
訪問介護,港区,13103,高輪介護,株式会社スイス,営利法人,1370304758,東京都港区高輪２－１５－１１高輪ホワイトマンション６０９,03-3445-7393,2017-04-01,,,,,,
訪問介護,港区,13103,茜ケアステーション,茜株式会社,営利法人,1370304857,東京都港区高輪２－１４－９三愛ビル梅館２０１,03-5422-8971,2017-07-01,,平日・土曜日・日曜日・祝日,,,35.636006400000000,139.738115000000000
訪問介護,港区,13103,ヘルパーステーションレッズ,有限会社三辻商店,営利法人,1370304865,東京都港区赤坂６－４－１９サントミビル１階,03-5797-7253,2017-09-01,,平日・土曜日・日曜日・祝日,,https://www.mitsuji-akasaka.co.jp/,35.670553999999996,139.734737600000000
訪問介護,港区,13103,悠々ケア　六本木,ミアヘルサ株式会社,営利法人,1370304899,東京都港区六本木６－５－２５,03-6447-5047,2017-10-01,,平日,30,https://lifesupport.co.jp/,35.661299199999990,139.731194900000000
訪問介護,港区,13103,エヌエー　ケア　ステーション,合同会社アマロン,営利法人,1370304931,東京都港区南青山７－８－８－８０１号,03-6450-6348,2018-02-01,,平日・土曜日・日曜日・祝日,,,35.658569800000000,139.716760700000000
訪問介護,港区,13103,快活介護センター,快活ライフ合同会社,営利法人,1370305003,東京都港区東新橋２－１０－１０－７１４,03-6457-1915,2018-08-01,,平日・土曜日・日曜日・祝日,5,,35.661180700000020,139.756249800000030
訪問介護,港区,13103,ケアリッツ神谷町,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1370305110,東京都港区芝公園３－５－１１グリーンビルⅡ－１０１,03-6441-0875,2020-01-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/kamiyacho/,35.659656098906865,139.744572945991730
訪問介護,港区,13103,稲穂の里,合同会社稲穂,営利法人,1370305359,東京都港区高輪４－１１－２４ヒルズ高輪Ｂ棟１０１,03-6432-5889,2021-07-01,,平日・土曜日・日曜日・祝日,100,https://inaho-cares.com/,35.626865534467730,139.736651120901480
訪問介護,港区,13103,訪問介護事業所　だいだい,株式会社橙,営利法人,1370305417,東京都港区西麻布４－１１－２８エンパイアマンション４０１,03-6804-2255,2021-12-01,,,,,,
訪問介護,港区,13103,ＭＡＭＥ,株式会社Ｃ２,営利法人,1370305441,東京都港区赤坂８－１３－１９インペリアル赤坂壱番館５１３,03-6447-2061,2022-04-01,,平日・土曜日・日曜日・祝日,1,https://www.c2mame.com/,35.669631100000010,139.730622499999980
